RowNumber,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,NewAGT,CreditsScore,AgeScore,BalanceScore,EstSalaryScore,NewEstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,HasCrCard,IsActiveMember,Exited
1,-0.2462686567164179,0.4166666666666667,-0.75,-0.761480032314815,0.0,0.01173910298084434,0.6666666666666666,-0.2,0.5,-0.9,0.1,0.011739102980844266,1,0,0,1,0,1,1,1
2,-0.3283582089552239,0.3333333333333333,-1.0,-0.10490626134011223,0.0,0.12551224505586478,0.6666666666666666,-0.2,0.5,-0.1,0.1,0.12551224505586486,0,0,1,1,0,0,1,0
3,-1.1194029850746268,0.4166666666666667,0.75,0.48934648363294714,2.0,0.1396299859825274,0.16666666666666666,-0.8,0.5,0.9,0.1,0.1396299859825274,1,0,0,1,0,1,0,1
4,0.35074626865671643,0.16666666666666666,-1.0,-0.761480032314815,1.0,-0.06471729820677216,0.5,0.4,0.25,-0.9,-0.1,-0.06471729820677216,1,0,0,1,0,0,0,0
5,1.4776119402985075,0.5,-0.75,0.2218061700238099,0.0,-0.21456086737829289,0.75,1.0,0.5,0.5,-0.3,-0.21456086737829289,0,0,1,1,0,1,1,0
6,-0.05223880597014925,0.5833333333333334,0.75,0.1297139612410242,1.0,0.5037579100002783,0.3333333333333333,0.0,0.5,0.3,0.5,0.5037579100002781,0,0,1,0,1,1,0,1
7,1.2686567164179106,1.0833333333333333,0.5,-0.761480032314815,1.0,-0.9160956745557777,0.9166666666666666,1.0,0.75,-0.9,-0.9,-0.9160956745557777,1,0,0,0,1,1,1,0
8,-2.0597014925373136,-0.6666666666666666,-0.25,0.13982769610285584,3.0,0.1946713783738081,-0.5833333333333334,-0.8,-0.5,0.3,0.1,0.1946713783738081,0,1,0,1,0,1,0,1
9,-1.126865671641791,0.5833333333333334,-0.25,0.3513870269430097,1.0,-0.2566765566947884,0.6666666666666666,-0.8,0.5,0.7,-0.3,-0.25667655669478834,1,0,0,0,1,0,1,0
10,0.23880597014925373,-0.8333333333333334,-0.75,0.29304369707555933,0.0,-0.28935158675174133,-0.5833333333333334,0.4,-0.75,0.7,-0.3,-0.28935158675174133,1,0,0,0,1,1,1,0
11,-0.9253731343283582,-0.5,0.25,0.0377469441629328,1.0,-0.20341071932008714,-0.5833333333333334,-0.6,-0.5,0.1,-0.3,-0.20341071932008717,1,0,0,0,1,0,0,0
12,-1.1567164179104477,-1.0833333333333333,-0.5,-0.761480032314815,1.0,-0.2419436884591592,-0.9166666666666666,-0.8,-0.75,-0.9,-0.3,-0.24194368845915915,0,0,1,0,1,1,0,0
13,-1.3134328358208955,-0.25,1.25,-0.761480032314815,1.0,-0.7514568299827808,-0.6666666666666666,-0.8,-0.25,-0.9,-0.7,-0.7514568299827808,1,0,0,1,0,1,0,0
14,-0.7686567164179104,-1.0,0.0,-0.761480032314815,1.0,0.9215106650568533,-1.0,-0.6,-0.75,-0.9,0.9,0.9215106650568533,1,0,0,1,0,0,0,0
15,-0.12686567164179105,-0.16666666666666666,0.5,-0.761480032314815,1.0,-0.34803952945098593,-0.3333333333333333,0.0,-0.25,-0.9,-0.3,-0.34803952945098593,0,0,1,1,0,1,1,0
16,-0.26865671641791045,0.6666666666666666,-0.5,0.35983503838481073,1.0,-0.3645498838695644,0.8333333333333334,-0.2,0.75,0.7,-0.3,-0.36454988386956433,0,1,0,0,1,0,1,0
17,0.007462686567164179,1.75,-1.0,0.27736731402842774,0.0,-0.9665614223345235,2.0833333333333335,0.2,1.0,0.5,-0.9,-0.9665614223345234,0,1,0,0,1,1,0,1
18,-0.7686567164179104,-1.0833333333333333,1.0,-0.761480032314815,1.0,-0.8719470768938357,-1.4166666666666667,-0.6,-0.75,-0.9,-0.9,-0.8719470768938358,0,0,1,1,0,1,1,0
19,-0.48507462686567165,0.6666666666666666,0.25,-0.761480032314815,0.0,0.5945034177197982,0.5833333333333334,-0.4,0.75,-0.9,0.5,0.5945034177197983,0,0,1,0,1,0,0,0
20,0.5522388059701493,-1.0833333333333333,0.25,-0.761480032314815,1.0,-0.4621574355431932,-1.1666666666666667,0.6,-0.75,-0.9,-0.5,-0.4621574355431932,1,0,0,1,0,1,1,0
21,0.5970149253731343,0.3333333333333333,0.75,-0.761480032314815,1.0,0.718518449817181,0.08333333333333333,0.6,0.5,-0.9,0.7,0.718518449817181,1,0,0,0,1,1,1,0
22,-0.11940298507462686,-0.4166666666666667,0.75,-0.761480032314815,1.0,0.3899080294721398,-0.6666666666666666,0.0,-0.5,-0.9,0.3,0.3899080294721397,0,0,1,1,0,1,0,0
23,-1.0597014925373134,0.08333333333333333,-0.25,-0.761480032314815,0.0,0.1902667944455082,0.16666666666666666,-0.8,0.25,-0.9,0.1,0.19026679444550812,0,0,1,1,0,1,0,1
24,0.12686567164179105,0.75,-0.5,-0.761480032314815,1.0,-0.9321045355602052,0.9166666666666666,0.2,0.75,-0.9,-0.9,-0.9321045355602052,1,0,0,0,1,0,1,0
25,1.4477611940298507,0.08333333333333333,0.0,-0.761480032314815,0.0,0.888562629059404,0.08333333333333333,1.0,0.25,-0.9,0.9,0.888562629059404,1,0,0,1,0,1,1,0
26,-0.5597014925373134,-1.0,-0.5,-0.761480032314815,1.0,0.24713212265294998,-0.8333333333333334,-0.4,-0.75,-0.9,0.3,0.2471321226529499,1,0,0,0,1,0,1,0
27,0.7761194029850746,-0.08333333333333333,-0.75,0.3103712317923629,0.0,0.7099377694342358,0.16666666666666666,0.8,0.0,0.7,0.7,0.7099377694342357,0,1,0,0,1,1,1,0
28,-0.6044776119402985,0.5833333333333334,1.0,-0.761480032314815,1.0,-0.6277364532173041,0.25,-0.4,0.5,-0.9,-0.7,-0.627736453217304,1,0,0,0,1,0,0,0
29,-0.582089552238806,0.5,-0.5,0.3458901866625551,0.0,-6.591375741323905e-05,0.6666666666666666,-0.4,0.5,0.7,-0.1,-6.591375741323905e-05,0,1,0,1,0,1,1,0
30,-1.7985074626865671,-0.6666666666666666,-1.25,-0.2937960224448828,1.0,-0.4747691716223741,-0.25,-0.8,-0.5,-0.3,-0.5,-0.47476917162237403,1,0,0,0,1,1,1,0
31,-0.4552238805970149,0.16666666666666666,-0.5,-0.761480032314815,2.0,0.4093611765173728,0.3333333333333333,-0.4,0.25,-0.9,0.5,0.40936117651737286,0,0,1,1,0,1,0,1
32,-0.8880597014925373,-0.08333333333333333,0.5,-0.09312476614690965,0.0,0.5746540766477393,-0.25,-0.6,0.0,-0.1,0.5,0.5746540766477393,1,0,0,0,1,0,1,0
33,-0.7388059701492538,0.3333333333333333,1.0,0.10117181942561596,1.0,-0.18595206057357416,0.0,-0.6,0.5,0.1,-0.1,-0.18595206057357416,0,1,0,0,1,0,0,0
34,-0.9850746268656716,0.4166666666666667,0.25,-0.761480032314815,1.0,-0.6686243272839123,0.3333333333333333,-0.8,0.5,-0.9,-0.7,-0.6686243272839123,0,0,1,1,0,1,1,0
35,0.5223880597014925,-0.6666666666666666,1.0,-0.761480032314815,1.0,0.4252545741009501,-1.0,0.6,-0.5,-0.9,0.5,0.42525457410095,0,0,1,1,0,1,1,0
36,-1.3208955223880596,0.6666666666666666,-1.25,0.2903812972680945,0.0,-0.7355805079755264,1.0833333333333333,-0.8,0.75,0.7,-0.7,-0.7355805079755264,1,0,0,1,0,1,0,1
37,-1.208955223880597,-0.5,-0.5,0.3765284669327813,0.0,0.1410041633151826,-0.3333333333333333,-0.8,-0.5,0.7,0.1,0.1410041633151826,0,0,1,0,1,0,1,0
38,1.1343283582089552,-0.3333333333333333,0.5,-0.16177729602213153,0.0,-0.017690144610057454,-0.5,1.0,-0.25,-0.1,-0.1,-0.017690144610057454,0,0,1,0,1,0,1,0
39,1.4776119402985075,-0.08333333333333333,0.5,-0.761480032314815,0.0,-0.6035506272415664,-0.25,1.0,0.0,-0.9,-0.7,-0.6035506272415663,1,0,0,0,1,1,1,0
40,-0.5223880597014925,0.3333333333333333,0.25,-0.21034290305618186,1.0,0.7915762014745219,0.25,-0.4,0.5,-0.3,0.7,0.7915762014745219,0,1,0,0,1,0,1,0
41,-1.3432835820895523,0.25,-0.25,-0.761480032314815,0.0,-0.30532446707748834,0.3333333333333333,-0.8,0.25,-0.9,-0.3,-0.30532446707748834,0,0,1,0,1,1,0,0
42,-1.3955223880597014,1.1666666666666667,0.75,0.1983934410201353,0.0,0.8243410815878406,0.9166666666666666,-0.8,0.75,0.5,0.9,0.8243410815878405,1,0,0,1,0,0,0,1
43,-0.7164179104477612,2.0,-0.75,0.15841537385470741,0.0,-0.06139162643721014,2.25,-0.6,1.0,0.3,-0.1,-0.06139162643721014,1,0,0,1,0,1,1,0
44,1.3582089552238805,1.0,-0.75,0.2679010036018859,0.0,0.9571657897434994,1.25,1.0,0.75,0.5,0.9,0.9571657897434994,1,0,0,1,0,0,0,1
45,0.05970149253731343,2.0,0.0,0.460127068796837,0.0,0.5909823932258752,2.0,0.2,1.0,0.9,0.5,0.5909823932258752,0,0,1,1,0,1,1,0
46,0.9253731343283582,-0.4166666666666667,-0.25,0.09575512377213415,1.0,0.26755339389149224,-0.3333333333333333,0.8,-0.5,0.1,0.3,0.2675533938914923,0,1,0,1,0,1,1,0
47,1.3208955223880596,-0.8333333333333334,1.0,0.1163164902701445,0.0,0.1983439486075974,-1.1666666666666667,1.0,-0.75,0.3,0.1,0.1983439486075975,0,1,0,1,0,1,1,1
